energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,40878.28 - 47539.03,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,32321.75 - 40878.28,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,3.87 - 12.51
6866211.91 - 12252934.51,40878.28 - 47539.03,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,3.87 - 12.51
6866211.91 - 12252934.51,40878.28 - 47539.03,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,3.87 - 12.51
12252934.51 - 18464831.15,40878.28 - 47539.03,355.01 - 407.69,7947.00 - 11173.19,148.16 - 218.69,46318.89 - 66111.12,3.87 - 12.51
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
